MONTH,TMIN_P10,TMAX_P90,TMIN_MIN,TMAX_MAX,PRCP_SUM
1,22.34864864864865,32.12499999999999,19.6,35.4,19.785714285714285
2,22.275000000000002,32.7529411764706,19.0,38.0,41.75555555555557
3,22.325641025641023,32.93684210526316,10.600000000000001,35.4,47.271428571428565
4,22.668421052631576,33.594444444444434,20.0,36.4,46.4923076923077
5,22.85897435897436,33.527777777777786,14.0,35.2,79.02727272727273
6,22.548717948717947,33.21621621621621,20.6,34.800000000000004,75.72222222222223
7,22.02307692307693,32.96,16.2,35.1,20.4
8,22.029999999999998,33.419999999999995,20.0,35.2,22.037499999999998
9,22.136111111111106,33.414285714285725,20.6,39.5,63.92
10,22.36842105263158,33.36388888888889,20.6,37.0,52.94166666666666
11,22.592307692307692,33.21315789473684,20.0,36.0,85.18181818181819
12,22.4972972972973,32.54705882352941,20.200000000000003,35.800000000000004,23.2764705882353
