MONTH,TMIN_P10,TMAX_P90,PRCP_SUM
1,-7.107547169811322,10.335416666666665,30.47872340425533
2,-4.8452830188679235,12.902222222222218,32.874509803921555
3,-0.2924528301886793,17.821739130434786,48.654
4,5.088679245283019,24.472916666666666,56.61372549019608
5,10.332075471698111,28.62708333333333,67.29183673469389
6,15.286792452830191,30.785999999999994,98.09599999999999
7,19.45094339622642,33.795744680851065,165.40200000000002
8,20.671698113207544,33.3,186.64800000000002
9,15.22884615384616,28.812765957446803,148.61000000000004
10,8.246153846153847,24.387234042553192,64.68863636363636
11,1.2749999999999997,20.166666666666668,36.023404255319136
12,-5.334615384615385,13.313636363636363,23.12325581395349
