MONTH,TMIN_P10,TMAX_P90,TMIN_MIN,TMAX_MAX,PRCP_SUM
1,-1.6392857142857145,10.351785714285711,-9.200000000000001,14.9,81.24464285714286
2,-1.3142857142857147,10.639285714285714,-8.3,18.2,67.44642857142857
3,0.03571428571428573,13.492857142857142,-6.2,23.0,64.26071428571426
4,1.4363636363636363,16.698181818181816,-6.6000000000000005,26.400000000000002,58.103636363636355
5,4.5,20.84363636363636,-0.7000000000000001,28.200000000000003,54.88363636363637
6,7.70727272727273,23.56363636363636,1.4000000000000001,33.300000000000004,69.01454545454544
7,10.132727272727271,25.199999999999996,6.0,39.400000000000006,59.97636363636362
8,9.761818181818184,24.32000000000001,4.2,34.300000000000004,64.32727272727273
9,7.349090909090909,21.23454545454546,1.9000000000000001,30.5,61.61090909090908
10,4.049090909090908,16.75454545454545,-4.1000000000000005,25.700000000000003,78.88363636363637
11,0.8963636363636364,12.716363636363637,-7.2,17.7,80.85740740740741
12,-1.0090909090909093,11.081818181818186,-9.1,17.6,86.24909090909092
