DAY,TMIN_P10,TMAX_P90,TMIN_MIN,TMAX_MAX,PRCP_SUM,MONTH,DAY_OF_MONTH
1,-6.6000000000000005,,-6.6000000000000005,,0.0,1,1
2,-4.6000000000000005,-2.0,-4.6000000000000005,-2.0,0.0,1,2
3,-5.300000000000001,-2.1,-5.300000000000001,-2.1,0.0,1,3
4,-4.5,,-4.5,,0.0,1,4
5,-0.8,,-0.8,,23.6,1,5
8,-2.4000000000000004,,-2.4000000000000004,,0.0,1,8
9,0.1,,0.1,,3.3000000000000003,1,9
11,-5.5,-1.0,-5.5,-1.0,0.30000000000000004,1,11
12,-2.7,-1.2000000000000002,-2.7,-1.2000000000000002,0.30000000000000004,1,12
13,-5.300000000000001,-1.2000000000000002,-5.300000000000001,-1.2000000000000002,0.5,1,13
14,-4.0,,-4.0,,1.0,1,14
15,-1.2000000000000002,0.30000000000000004,-1.2000000000000002,0.30000000000000004,0.5,1,15
17,-3.5,-1.4000000000000001,-3.5,-1.4000000000000001,0.5,1,17
18,-3.6,,-3.6,,0.0,1,18
21,-13.200000000000001,-10.200000000000001,-13.200000000000001,-10.200000000000001,1.0,1,21
22,-13.0,,-13.0,,0.0,1,22
23,-8.0,0.2,-8.0,0.2,0.0,1,23
24,-4.3,1.2000000000000002,-4.3,1.2000000000000002,0.0,1,24
27,-5.0,-3.4000000000000004,-5.0,-3.4000000000000004,0.5,1,27
28,-6.1000000000000005,-2.6,-6.1000000000000005,-2.6,0.5,1,28
29,-5.2,8.9,-5.2,8.9,0.0,1,29
30,-2.0,5.0,-2.0,5.0,0.0,1,30
31,1.1,7.5,1.1,7.5,0.0,1,31
32,-1.1,,-1.1,,0.0,2,1
34,-7.1000000000000005,-0.8,-7.1000000000000005,-0.8,0.0,2,3
36,-4.800000000000001,,-4.800000000000001,,3.6,2,5
37,0.2,1.6,0.2,1.6,7.1000000000000005,2,6
39,-1.5,2.2,-1.5,2.2,0.0,2,8
40,-3.8000000000000003,0.6000000000000001,-3.8000000000000003,0.6000000000000001,0.0,2,9
41,-1.9000000000000001,-0.5,-1.9000000000000001,-0.5,1.0,2,10
42,-1.8,-0.4,-1.8,-0.4,7.4,2,11
43,-1.0,,-1.0,,7.6000000000000005,2,12
44,1.2000000000000002,5.7,1.2000000000000002,5.7,3.6,2,13
46,-1.9000000000000001,3.1,-1.9000000000000001,3.1,0.30000000000000004,2,15
48,-9.200000000000001,-2.6,-9.200000000000001,-2.6,5.1000000000000005,2,17
49,-11.0,-8.4,-11.0,-8.4,8.6,2,18
50,-10.4,-5.7,-10.4,-5.7,1.3,2,19
51,-6.2,-3.0,-6.2,-3.0,2.5,2,20
52,-4.4,-1.9000000000000001,-4.4,-1.9000000000000001,2.0,2,21
53,-3.4000000000000004,,-3.4000000000000004,,1.8,2,22
54,-3.5,,-3.5,,1.8,2,23
55,-2.5,0.0,-2.5,0.0,1.8,2,24
56,-1.4000000000000001,4.3,-1.4000000000000001,4.3,0.0,2,25
57,-0.8,2.8000000000000003,-0.8,2.8000000000000003,0.0,2,26
58,0.7000000000000001,8.200000000000001,0.7000000000000001,8.200000000000001,0.0,2,27
59,1.3,8.5,1.3,8.5,0.0,2,28
60,2.2,8.4,2.2,8.4,0.0,2,29
61,0.4,8.4,0.4,8.4,0.0,3,1
63,-3.0,2.7,-3.0,2.7,1.8,3,3
64,0.8,6.4,0.8,6.4,0.0,3,4
65,1.0,13.0,1.0,13.0,0.0,3,5
67,-0.6000000000000001,6.6000000000000005,-0.6000000000000001,6.6000000000000005,6.9,3,7
68,-0.6000000000000001,7.4,-0.6000000000000001,7.4,0.0,3,8
69,0.2,9.1,0.2,9.1,0.0,3,9
70,1.0,8.0,1.0,8.0,0.0,3,10
71,-3.0,5.1000000000000005,-3.0,5.1000000000000005,3.3000000000000003,3,11
72,-2.3000000000000003,,-2.3000000000000003,,5.800000000000001,3,12
74,-4.7,0.0,-4.7,0.0,25.700000000000003,3,14
75,-5.1000000000000005,-2.5,-5.1000000000000005,-2.5,7.9,3,15
76,-4.6000000000000005,-1.2000000000000002,-4.6000000000000005,-1.2000000000000002,1.8,3,16
77,-3.3000000000000003,0.30000000000000004,-3.3000000000000003,0.30000000000000004,1.3,3,17
78,-1.2000000000000002,6.7,-1.2000000000000002,6.7,0.0,3,18
79,-0.30000000000000004,4.5,-0.30000000000000004,4.5,0.0,3,19
80,-0.2,5.4,-0.2,5.4,0.8,3,20
82,-2.1,-0.4,-2.1,-0.4,6.6000000000000005,3,22
83,-3.0,-0.7000000000000001,-3.0,-0.7000000000000001,23.1,3,23
84,-2.3000000000000003,-0.9,-2.3000000000000003,-0.9,4.800000000000001,3,24
85,-3.3000000000000003,-1.5,-3.3000000000000003,-1.5,34.800000000000004,3,25
86,-3.4000000000000004,-0.5,-3.4000000000000004,-0.5,12.200000000000001,3,26
87,-3.5,-0.4,-3.5,-0.4,1.0,3,27
88,-5.6000000000000005,-1.2000000000000002,-5.6000000000000005,-1.2000000000000002,3.8000000000000003,3,28
89,-5.7,-2.2,-5.7,-2.2,11.4,3,29
90,-5.4,1.6,-5.4,1.6,1.0,3,30
91,0.30000000000000004,8.3,0.30000000000000004,8.3,0.30000000000000004,3,31
92,-1.7000000000000002,5.6000000000000005,-1.7000000000000002,5.6000000000000005,0.0,4,1
93,-1.6,4.4,-1.6,4.4,20.1,4,2
94,-0.6000000000000001,4.1000000000000005,-0.6000000000000001,4.1000000000000005,1.8,4,3
95,-0.8,3.7,-0.8,3.7,0.30000000000000004,4,4
96,-2.4000000000000004,1.4000000000000001,-2.4000000000000004,1.4000000000000001,0.0,4,5
97,-3.6,4.800000000000001,-3.6,4.800000000000001,0.0,4,6
98,-1.0,7.6000000000000005,-1.0,7.6000000000000005,0.0,4,7
99,-0.7000000000000001,6.0,-0.7000000000000001,6.0,0.0,4,8
100,-1.0,7.1000000000000005,-1.0,7.1000000000000005,0.0,4,9
101,0.1,7.6000000000000005,0.1,7.6000000000000005,0.0,4,10
102,1.0,11.3,1.0,11.3,0.0,4,11
103,3.2,12.600000000000001,3.2,12.600000000000001,0.0,4,12
105,-0.30000000000000004,6.800000000000001,-0.30000000000000004,6.800000000000001,2.8000000000000003,4,14
106,1.0,5.6000000000000005,1.0,5.6000000000000005,0.0,4,15
108,-7.1000000000000005,0.30000000000000004,-7.1000000000000005,0.30000000000000004,7.9,4,17
109,-1.9000000000000001,,-1.9000000000000001,,3.8000000000000003,4,18
112,-3.0,8.4,-3.0,8.4,0.0,4,21
113,2.0,8.200000000000001,2.0,8.200000000000001,0.0,4,22
114,2.8000000000000003,4.9,2.8000000000000003,4.9,3.8000000000000003,4,23
115,2.9000000000000004,9.200000000000001,2.9000000000000004,9.200000000000001,3.3000000000000003,4,24
116,7.2,17.6,7.2,17.6,0.0,4,25
117,7.800000000000001,14.700000000000001,7.800000000000001,14.700000000000001,0.0,4,26
119,3.9000000000000004,12.0,3.9000000000000004,12.0,3.8000000000000003,4,28
120,1.8,8.3,1.8,8.3,3.8000000000000003,4,29
121,0.4,9.8,0.4,9.8,2.3000000000000003,4,30
122,3.0,9.5,3.0,9.5,0.0,5,1
123,1.8,5.9,1.8,5.9,4.3,5,2
124,1.9000000000000001,6.6000000000000005,1.9000000000000001,6.6000000000000005,7.1000000000000005,5,3
125,0.4,10.0,0.4,10.0,0.0,5,4
126,1.6,13.100000000000001,1.6,13.100000000000001,0.0,5,5
127,4.3,14.0,4.3,14.0,0.0,5,6
128,4.9,11.3,4.9,11.3,0.0,5,7
130,0.4,6.6000000000000005,0.4,6.6000000000000005,3.8000000000000003,5,9
131,2.6,8.3,2.6,8.3,14.0,5,10
133,1.8,9.8,1.8,9.8,14.200000000000001,5,12
134,5.4,19.200000000000003,5.4,19.200000000000003,0.0,5,13
135,10.600000000000001,23.3,10.600000000000001,23.3,0.0,5,14
136,13.4,22.8,13.4,22.8,,5,15
138,4.25,12.55,1.9000000000000001,13.600000000000001,0.15000000000000002,5,17
139,4.7,14.0,4.7,14.0,0.0,5,18
140,6.4,17.0,6.4,17.0,0.0,5,19
141,4.800000000000001,13.15,2.8000000000000003,19.0,4.7,5,20
142,5.65,19.900000000000002,4.3,19.900000000000002,2.3000000000000003,5,21
143,7.8500000000000005,17.65,7.5,20.8,2.5500000000000003,5,22
144,10.850000000000001,21.85,10.700000000000001,22.5,0.0,5,23
145,10.600000000000001,22.6,10.600000000000001,22.6,0.0,5,24
146,9.700000000000001,17.1,7.7,22.5,0.75,5,25
147,8.4,14.0,8.4,14.0,0.0,5,27
148,7.4,17.1,5.800000000000001,18.0,0.0,5,27
149,9.25,19.05,9.200000000000001,19.6,0.0,5,28
150,10.05,19.3,7.800000000000001,21.400000000000002,0.0,5,29
