MONTH,TMIN_P10,TMAX_P90,PRCP_SUM
1,0.8147058823529413,13.564705882352941,54.391176470588235
2,1.0147058823529411,14.100000000000003,68.37647058823529
3,2.520588235294117,17.517647058823528,124.77941176470588
4,6.929411764705883,22.358823529411758,132.77647058823527
5,11.984848484848486,25.678787878787876,140.24242424242425
6,16.248484848484857,28.290909090909086,175.27575757575755
7,19.19393939393939,32.15757575757576,152.1
8,21.741176470588236,33.10294117647058,129.54117647058825
9,17.65625,30.837499999999995,189.13750000000002
10,12.57272727272727,25.154545454545456,184.65757575757576
11,7.360606060606062,20.77272727272728,115.9878787878788
12,3.011764705882353,16.323529411764707,48.73823529411765
