MONTH,TMIN_P10,TMAX_P90,PRCP_SUM
1,-1.9250000000000005,11.022916666666669,160.37115384615385
2,-2.4365384615384613,12.254166666666665,135.09230769230768
3,-0.9288461538461541,17.423404255319145,127.53269230769232
4,2.4730769230769223,23.90212765957447,116.80576923076924
5,8.163461538461537,28.06521739130435,129.78076923076924
6,13.990384615384611,30.163829787234032,159.3153846153846
7,19.846153846153843,34.32,168.83653846153842
8,20.646153846153844,34.80833333333333,138.96153846153845
9,15.398039215686277,31.15434782608695,205.53725490196075
10,8.666666666666664,25.01489361702128,160.53333333333333
11,3.2666666666666675,20.119565217391305,129.70980392156864
12,-0.3509803921568628,14.55681818181818,135.89803921568628
