MONTH,TMIN_P10,TMAX_P90,PRCP_SUM
1,1.427450980392157,13.672549019607844,60.582
2,1.196078431372549,15.005882352941173,77.27647058823531
3,3.0961538461538463,18.409615384615385,137.30576923076922
4,7.277358490566037,23.0843137254902,155.12499999999997
5,12.352941176470589,26.162,155.7352941176471
6,16.233333333333327,28.35686274509805,237.1686274509804
7,19.888461538461538,32.20980392156863,214.60784313725495
8,21.96181818181818,32.94074074074073,185.29807692307696
9,18.24905660377359,30.213207547169823,213.33461538461538
10,12.863461538461534,25.21960784313725,184.35384615384615
11,8.028846153846153,20.917647058823533,87.51199999999999
12,3.541176470588235,16.235294117647058,57.02916666666667
