MONTH,TMIN_P10,TMAX_P90,PRCP_SUM
1,-4.488461538461539,10.611538461538462,64.08461538461539
2,-3.4615384615384617,11.946153846153845,57.1076923076923
3,-1.8807692307692307,16.384615384615383,46.36923076923078
4,0.05599999999999999,21.004,36.604000000000006
5,4.172000000000001,24.928,56.09199999999999
6,7.448000000000002,27.792,60.63999999999998
7,9.415384615384616,29.16153846153846,71.01538461538462
8,8.93076923076923,28.588461538461534,72.51538461538463
9,5.553846153846154,25.153846153846157,53.21153846153847
10,2.8269230769230775,19.703846153846158,57.715384615384615
11,-0.7153846153846154,14.165384615384612,58.264
12,-3.1999999999999997,11.100000000000001,70.93076923076923
