MONTH,TMIN_P10,TMAX_P90,TMIN_MIN,TMAX_MAX,PRCP_SUM
1,-1.255882352941177,12.644117647058822,-5.0,19.400000000000002,59.94117647058823
2,-1.3000000000000003,13.06470588235294,-7.2,20.0,83.55
3,0.8205882352941178,16.585294117647067,-4.4,23.3,140.9441176470588
4,5.458823529411763,21.926470588235297,1.1,29.400000000000002,181.02058823529413
5,10.770588235294117,25.361764705882354,5.0,30.6,189.02058823529416
6,15.982352941176472,28.13823529411764,11.100000000000001,32.2,284.74705882352947
7,20.864705882352943,32.635294117647064,13.9,36.1,232.17352941176466
8,22.04705882352942,32.88823529411765,2.2,37.800000000000004,143.7941176470588
9,16.93333333333333,29.97878787878788,2.2,35.0,183.3424242424243
10,9.88235294117647,25.53823529411765,2.8000000000000003,30.6,109.64411764705883
11,4.33235294117647,20.76764705882354,0.0,27.200000000000003,74.89117647058823
12,0.5121212121212122,15.433333333333334,-3.9000000000000004,21.1,42.53636363636364
