MONTH,TMIN_P10,TMAX_P90,PRCP_SUM
1,12.849999999999994,22.400000000000006,65.93958333333332
2,12.358333333333329,22.544186046511626,55.86249999999999
3,13.831250000000002,23.586046511627913,62.070833333333326
4,16.329166666666666,25.40232558139535,105.62083333333334
5,18.985416666666666,27.395238095238092,139.53333333333333
6,22.379166666666663,29.86904761904762,119.55
7,24.14166666666667,31.18048780487805,64.85625
8,24.60208333333333,31.10909090909091,108.98541666666667
9,24.129787234042556,30.807142857142853,120.27234042553188
10,22.268085106382987,29.59285714285715,137.31063829787232
11,18.770212765957453,27.299999999999997,117.30425531914892
12,15.180851063829786,24.509999999999998,108.82127659574469
