MONTH,TMIN_P10,TMAX_P90,PRCP_SUM
1,23.238888888888894,31.634285714285717,11.921428571428573
2,23.468571428571426,32.07142857142857,18.045454545454547
3,23.74857142857143,32.62571428571429,20.6
4,24.00571428571429,32.92857142857143,57.4888888888889
5,23.975,32.96857142857144,33.440000000000005
6,23.708333333333332,32.974999999999994,54.29
7,23.413888888888884,32.75555555555556,54.14000000000001
8,23.350000000000005,32.554285714285726,49.98181818181819
9,23.143243243243244,32.08611111111111,59.872727272727275
10,23.33611111111111,31.89428571428571,68.20666666666666
11,23.370270270270264,31.63783783783783,44.00588235294118
12,23.302857142857142,31.482857142857146,44.23749999999999
