MONTH,TMIN_P10,TMAX_P90,PRCP_SUM
1,-2.522857142857143,11.202857142857145,59.945714285714295
2,-1.7514285714285713,11.425714285714287,48.505714285714284
3,-0.28571428571428564,13.808571428571431,50.63714285714286
4,0.8485714285714284,16.66857142857143,48.25428571428572
5,3.842857142857143,21.080000000000002,50.74571428571429
6,7.131428571428571,22.965714285714284,55.73999999999999
7,9.717647058823527,25.11212121212121,47.3764705882353
8,8.96,24.43714285714286,62.671428571428585
9,6.640000000000001,21.260000000000005,62.00857142857145
10,2.6942857142857144,17.297142857142855,75.08
11,-0.039999999999999925,13.96857142857143,76.19714285714285
12,-2.214285714285715,12.117142857142856,70.72857142857144
